"STATION","DATE","TAVG"
"USW00014735","1980-01","-4.4"
"USW00014735","1980-02","-6.7"
"USW00014735","1980-03","0.7"
"USW00014735","1980-04","8.9"
"USW00014735","1980-05","15.3"
"USW00014735","1980-06","17.4"
"USW00014735","1980-07","22.4"
"USW00014735","1980-08","21.5"
"USW00014735","1980-09","16.9"
"USW00014735","1980-10","8.5"
"USW00014735","1980-11","1.6"
"USW00014735","1980-12","-6.7"
"USW00014735","1981-01","-10.0"
"USW00014735","1981-02","0.6"
"USW00014735","1981-03","1.5"
"USW00014735","1981-04","8.9"
"USW00014735","1981-05","14.9"
"USW00014735","1981-06","19.3"
"USW00014735","1981-07","20.7"
"USW00014735","1981-08","20.3"
"USW00014735","1981-09","14.9"
"USW00014735","1981-10","7.1"
"USW00014735","1981-11","3.1"
"USW00014735","1981-12","-3.5"
"USW00014735","1982-01","-9.8"
"USW00014735","1982-02","-4.8"
"USW00014735","1982-03","0.4"
"USW00014735","1982-04","6.8"
"USW00014735","1982-05","15.3"
"USW00014735","1982-06","17.2"
"USW00014735","1982-07","21.1"
"USW00014735","1982-08","18.6"
"USW00014735","1982-09","15.8"
"USW00014735","1982-10","10.3"
"USW00014735","1982-11","6.1"
"USW00014735","1982-12","0.9"
"USW00014735","1983-01","-4.3"
"USW00014735","1983-02","-2.9"
"USW00014735","1983-03","3.1"
"USW00014735","1983-04","8.2"
"USW00014735","1983-05","12.7"
"USW00014735","1983-06","19.6"
"USW00014735","1983-07","22.3"
"USW00014735","1983-08","21.0"
"USW00014735","1983-09","17.0"
"USW00014735","1983-10","9.7"
"USW00014735","1983-11","4.0"
"USW00014735","1983-12","-4.4"
"USW00014735","1984-01","-7.7"
"USW00014735","1984-02","0.2"
"USW00014735","1984-03","-1.7"
"USW00014735","1984-04","8.6"
"USW00014735","1984-05","11.8"
"USW00014735","1984-06","19.1"
"USW00014735","1984-07","20.5"
"USW00014735","1984-08","22.1"
"USW00014735","1984-09","15.7"
"USW00014735","1984-10","12.1"
"USW00014735","1984-11","4.6"
"USW00014735","1984-12","1.0"
"USW00014735","1985-01","-6.7"
"USW00014735","1985-02","-2.9"
"USW00014735","1985-03","2.9"
"USW00014735","1985-04","9.8"
"USW00014735","1985-05","15.6"
"USW00014735","1985-06","16.8"
"USW00014735","1985-07","21.5"
"USW00014735","1985-08","20.4"
"USW00014735","1985-09","17.4"
"USW00014735","1985-10","10.1"
"USW00014735","1985-11","4.5"
"USW00014735","1985-12","-4.2"
"USW00014735","1986-01","-5.0"
"USW00014735","1986-02","-5.1"
"USW00014735","1986-03","2.9"
"USW00014735","1986-04","10.3"
"USW00014735","1986-05","16.3"
"USW00014735","1986-06","18.1"
"USW00014735","1986-07","21.9"
"USW00014735","1986-08","19.9"
"USW00014735","1986-09","15.6"
"USW00014735","1986-10","9.4"
"USW00014735","1986-11","2.1"
"USW00014735","1986-12","-0.7"
"USW00014735","1987-01","-5.7"
"USW00014735","1987-02","-5.7"
"USW00014735","1987-03","3.1"
"USW00014735","1987-04","10.2"
"USW00014735","1987-05","15.6"
"USW00014735","1987-06","20.2"
"USW00014735","1987-07","23.0"
"USW00014735","1987-08","19.5"
"USW00014735","1987-09","15.9"
"USW00014735","1987-10","8.1"
"USW00014735","1987-11","4.5"
"USW00014735","1987-12","-0.7"
"USW00014735","1988-01","-6.3"
"USW00014735","1988-02","-4.4"
"USW00014735","1988-03","1.2"
"USW00014735","1988-04","8.1"
"USW00014735","1988-05","15.3"
"USW00014735","1988-06","18.4"
"USW00014735","1988-07","23.9"
"USW00014735","1988-08","22.4"
"USW00014735","1988-09","15.6"
"USW00014735","1988-10","7.8"
"USW00014735","1988-11","5.0"
"USW00014735","1988-12","-3.0"
"USW00014735","1989-01","-2.4"
"USW00014735","1989-02","-4.3"
"USW00014735","1989-03","0.8"
"USW00014735","1989-04","7.0"
"USW00014735","1989-05","15.3"
"USW00014735","1989-06","20.0"
"USW00014735","1989-07","22.0"
"USW00014735","1989-08","21.0"
"USW00014735","1989-09","16.9"
"USW00014735","1989-10","10.8"
"USW00014735","1989-11","4.0"
"USW00014735","1989-12","-10.2"
"USW00014735","1990-01","0.5"
"USW00014735","1990-02","-2.1"
"USW00014735","1990-03","3.2"
"USW00014735","1990-04","9.4"
"USW00014735","1990-05","12.9"
"USW00014735","1990-06","19.6"
"USW00014735","1990-07","22.8"
"USW00014735","1990-08","21.6"
"USW00014735","1990-09","16.5"
"USW00014735","1990-10","11.7"
"USW00014735","1990-11","5.4"
"USW00014735","1990-12","0.9"
"USW00014735","1991-01","-4.9"
"USW00014735","1991-02","-1.1"
"USW00014735","1991-03","3.0"
"USW00014735","1991-04","10.6"
"USW00014735","1991-05","17.3"
"USW00014735","1991-06","20.5"
"USW00014735","1991-07","22.0"
"USW00014735","1991-08","21.8"
"USW00014735","1991-09","15.5"
"USW00014735","1991-10","11.8"
"USW00014735","1991-11","4.5"
"USW00014735","1991-12","-1.7"
"USW00014735","1992-01","-4.2"
"USW00014735","1992-02","-2.8"
"USW00014735","1992-03","-0.3"
"USW00014735","1992-04","7.0"
"USW00014735","1992-05","14.7"
"USW00014735","1992-06","18.5"
"USW00014735","1992-07","19.8"
"USW00014735","1992-08","19.7"
"USW00014735","1992-09","16.3"
"USW00014735","1992-10","8.0"
"USW00014735","1992-11","3.8"
"USW00014735","1992-12","-1.2"
"USW00014735","1993-01","-3.0"
"USW00014735","1993-02","-7.6"
"USW00014735","1993-03","-0.3"
"USW00014735","1993-04","9.1"
"USW00014735","1993-05","15.3"
"USW00014735","1993-06","19.1"
"USW00014735","1993-07","22.8"
"USW00014735","1993-08","22.0"
"USW00014735","1993-09","15.8"
"USW00014735","1993-10","9.2"
"USW00014735","1993-11","3.6"
"USW00014735","1993-12","-2.6"
"USW00014735","1994-01","-10.7"
"USW00014735","1994-02","-7.1"
"USW00014735","1994-03","0.6"
"USW00014735","1994-04","9.0"
"USW00014735","1994-05","13.6"
"USW00014735","1994-06","20.5"
"USW00014735","1994-07","23.3"
"USW00014735","1994-08","19.5"
"USW00014735","1994-09","16.0"
"USW00014735","1994-10","10.0"
"USW00014735","1994-11","6.3"
"USW00014735","1994-12","-0.2"
"USW00014735","1995-01","-0.4"
"USW00014735","1995-02","-5.1"
"USW00014735","1995-03","4.4"
"USW00014735","1995-04","6.6"
"USW00014735","1995-05","13.8"
"USW00014735","1995-06","19.4"
"USW00014735","1995-07","23.3"
"USW00014735","1995-08","21.6"
"USW00014735","1995-09","15.1"
"USW00014735","1995-10","11.9"
"USW00014735","1995-11","2.0"
"USW00014735","1995-12","-4.5"
"USW00014735","1996-01","-6.3"
"USW00014735","1996-02","-3.8"
"USW00014735","1996-03","-0.6"
"USW00014735","1996-04","7.9"
"USW00014735","1996-05","12.9"
"USW00014735","1996-06","20.3"
"USW00014735","1996-07","20.9"
"USW00014735","1996-08","21.2"
"USW00014735","1996-09","16.8"
"USW00014735","1996-10","9.5"
"USW00014735","1996-11","1.4"
"USW00014735","1996-12","1.0"
"USW00014735","1997-01","-5.2"
"USW00014735","1997-02","-0.9"
"USW00014735","1997-03","0.6"
"USW00014735","1997-04","6.8"
"USW00014735","1997-05","11.9"
"USW00014735","1997-06","19.9"
"USW00014735","1997-07","21.4"
"USW00014735","1997-08","20.3"
"USW00014735","1997-09","15.9"
"USW00014735","1997-10","8.9"
"USW00014735","1997-11","2.1"
"USW00014735","1997-12","-1.2"
"USW00014735","1998-01","-1.7"
"USW00014735","1998-02","-0.1"
"USW00014735","1998-03","3.6"
"USW00014735","1998-04","9.3"
"USW00014735","1998-05","17.1"
"USW00014735","1998-06","19.0"
"USW00014735","1998-07","21.6"
"USW00014735","1998-08","21.7"
"USW00014735","1998-09","17.3"
"USW00014735","1998-10","10.4"
"USW00014735","1998-11","4.4"
"USW00014735","1998-12","1.0"
"USW00014735","1999-01","-5.7"
"USW00014735","1999-02","-2.1"
"USW00014735","1999-03","1.4"
"USW00014735","1999-04","8.1"
"USW00014735","1999-05","15.2"
"USW00014735","1999-06","20.9"
"USW00014735","1999-07","23.4"
"USW00014735","1999-08","20.7"
"USW00014735","1999-09","18.2"
"USW00014735","1999-10","9.3"
"USW00014735","1999-11","6.7"
"USW00014735","1999-12","-0.6"
"USW00014735","2000-01","-6.3"
"USW00014735","2000-02","-2.4"
"USW00014735","2000-03","4.5"
"USW00014735","2000-04","7.4"
"USW00014735","2000-05","15.2"
"USW00014735","2000-06","18.8"
"USW00014735","2000-07","19.8"
"USW00014735","2000-08","20.3"
"USW00014735","2000-09","15.2"
"USW00014735","2000-10","10.0"
"USW00014735","2000-11","3.3"
"USW00014735","2000-12","-5.5"
"USW00014735","2001-01","-4.1"
"USW00014735","2001-02","-2.9"
"USW00014735","2001-03","-0.6"
"USW00014735","2001-04","8.6"
"USW00014735","2001-05","14.9"
"USW00014735","2001-06","20.2"
"USW00014735","2001-07","20.5"
"USW00014735","2001-08","23.2"
"USW00014735","2001-09","16.9"
"USW00014735","2001-10","11.1"
"USW00014735","2001-11","7.1"
"USW00014735","2001-12","1.2"
"USW00014735","2002-01","-0.4"
"USW00014735","2002-02","-0.2"
"USW00014735","2002-03","2.4"
"USW00014735","2002-04","9.4"
"USW00014735","2002-05","12.8"
"USW00014735","2002-06","19.3"
"USW00014735","2002-07","23.0"
"USW00014735","2002-08","22.7"
"USW00014735","2002-09","18.4"
"USW00014735","2002-10","8.8"
"USW00014735","2002-11","3.7"
"USW00014735","2002-12","-2.7"
"USW00014735","2003-01","-9.1"
"USW00014735","2003-02","-6.1"
"USW00014735","2003-03","1.3"
"USW00014735","2003-04","6.9"
"USW00014735","2003-05","13.8"
"USW00014735","2003-06","19.0"
"USW00014735","2003-07","22.3"
"USW00014735","2003-08","22.6"
"USW00014735","2003-09","17.2"
"USW00014735","2003-10","9.0"
"USW00014735","2003-11","5.8"
"USW00014735","2003-12","-1.5"
"USW00014735","2004-01","-9.7"
"USW00014735","2004-02","-4.0"
"USW00014735","2004-03","3.3"
"USW00014735","2004-04","9.5"
"USW00014735","2004-05","16.4"
"USW00014735","2004-06","18.9"
"USW00014735","2004-07","21.6"
"USW00014735","2004-08","20.7"
"USW00014735","2004-09","17.3"
"USW00014735","2004-10","9.9"
"USW00014735","2004-11","4.1"
"USW00014735","2004-12","-2.3"
"USW00014735","2005-01","-6.9"
"USW00014735","2005-02","-2.8"
"USW00014735","2005-03","-0.5"
"USW00014735","2005-04","10.1"
"USW00014735","2005-05","12.5"
"USW00014735","2005-06","22.7"
"USW00014735","2005-07","23.2"
"USW00014735","2005-08","23.2"
"USW00014735","2005-09","19.0"
"USW00014735","2005-10","11.1"
"USW00014735","2005-11","5.8"
"USW00014735","2005-12","-2.9"
"USW00014735","2006-01","-0.3"
"USW00014735","2006-02","-2.3"
"USW00014735","2006-03","2.2"
"USW00014735","2006-04","9.7"
"USW00014735","2006-05","14.8"
"USW00014735","2006-06","19.8"
"USW00014735","2006-07","23.8"
"USW00014735","2006-08","21.0"
"USW00014735","2006-09","16.2"
"USW00014735","2006-10","9.3"
"USW00014735","2006-11","7.0"
"USW00014735","2006-12","1.8"
"USW00014735","2007-01","-2.5"
"USW00014735","2007-02","-7.0"
"USW00014735","2007-03","-0.1"
"USW00014735","2007-04","6.8"
"USW00014735","2007-05","15.7"
"USW00014735","2007-06","20.4"
"USW00014735","2007-07","21.4"
"USW00014735","2007-08","21.5"
"USW00014735","2007-09","17.9"
"USW00014735","2007-10","13.8"
"USW00014735","2007-11","3.1"
"USW00014735","2007-12","-2.3"
"USW00014735","2008-01","-2.5"
"USW00014735","2008-02","-3.2"
"USW00014735","2008-03","1.0"
"USW00014735","2008-04","11.1"
"USW00014735","2008-05","13.0"
"USW00014735","2008-06","21.3"
"USW00014735","2008-07","23.1"
"USW00014735","2008-08","20.3"
"USW00014735","2008-09","17.9"
"USW00014735","2008-10","8.9"
"USW00014735","2008-11","4.2"
"USW00014735","2008-12","-2.0"
"USW00014735","2009-01","-7.6"
"USW00014735","2009-02","-2.5"
"USW00014735","2009-03","2.4"
"USW00014735","2009-04","9.8"
"USW00014735","2009-05","14.4"
"USW00014735","2009-06","18.9"
"USW00014735","2009-07","20.1"
"USW00014735","2009-08","21.7"
"USW00014735","2009-09","15.8"
"USW00014735","2009-10","8.9"
"USW00014735","2009-11","6.3"
"USW00014735","2009-12","-2.6"
"USW00014735","2010-01","-4.2"
"USW00014735","2010-02","-2.2"
"USW00014735","2010-03","5.4"
"USW00014735","2010-04","11.0"
"USW00014735","2010-05","16.2"
"USW00014735","2010-06","19.8"
"USW00014735","2010-07","23.8"
"USW00014735","2010-08","22.2"
"USW00014735","2010-09","18.1"
"USW00014735","2010-10","10.2"
"USW00014735","2010-11","4.2"
"USW00014735","2010-12","-3.4"
"USW00014735","2011-01","-6.4"
"USW00014735","2011-02","-4.5"
"USW00014735","2011-03","1.4"
"USW00014735","2011-04","9.3"
"USW00014735","2011-05","16.7"
"USW00014735","2011-06","19.9"
"USW00014735","2011-07","23.8"
"USW00014735","2011-08","21.6"
"USW00014735","2011-09","18.4"
"USW00014735","2011-10","11.6"
"USW00014735","2011-11","6.9"
"USW00014735","2011-12","1.1"
"USW00014735","2012-01","-1.9"
"USW00014735","2012-02","0.0"
"USW00014735","2012-03","7.7"
"USW00014735","2012-04","8.9"
"USW00014735","2012-05","17.3"
"USW00014735","2012-06","19.7"
"USW00014735","2012-07","23.8"
"USW00014735","2012-08","22.4"
"USW00014735","2012-09","17.0"
"USW00014735","2012-10","11.8"
"USW00014735","2012-11","3.4"
"USW00014735","2012-12","0.8"
"USW00014735","2013-01","-3.6"
"USW00014735","2013-02","-2.9"
"USW00014735","2013-03","1.0"
"USW00014735","2013-04","7.8"
"USW00014735","2013-05","15.5"
"USW00014735","2013-06","19.8"
"USW00014735","2013-07","24.4"
"USW00014735","2013-08","20.9"
"USW00014735","2013-09","16.3"
"USW00014735","2013-10","11.4"
"USW00014735","2013-11","2.9"
"USW00014735","2013-12","-2.4"
"USW00014735","2014-01","-6.7"
"USW00014735","2014-02","-5.5"
"USW00014735","2014-03","-2.3"
"USW00014735","2014-04","8.6"
"USW00014735","2014-05","15.6"
"USW00014735","2014-06","20.7"
"USW00014735","2014-07","22.4"
"USW00014735","2014-08","20.7"
"USW00014735","2014-09","17.4"
"USW00014735","2014-10","12.2"
"USW00014735","2014-11","3.5"
"USW00014735","2014-12","0.3"
"USW00014735","2015-01","-6.8"
"USW00014735","2015-02","-10.6"
"USW00014735","2015-03","-1.1"
"USW00014735","2015-04","8.8"
"USW00014735","2015-05","18.6"
"USW00014735","2015-06","19.3"
"USW00014735","2015-07","22.8"
"USW00014735","2015-08","22.8"
"USW00014735","2015-09","20.3"
"USW00014735","2015-10","9.9"
"USW00014735","2015-11","7.5"
"USW00014735","2015-12","5.5"
"USW00014735","2016-01","-2.3"
"USW00014735","2016-02","-0.7"
"USW00014735","2016-03","6.0"
"USW00014735","2016-04","7.8"
"USW00014735","2016-05","15.3"
"USW00014735","2016-06","20.1"
"USW00014735","2016-07","23.3"
"USW00014735","2016-08","23.3"
"USW00014735","2016-09","18.9"
"USW00014735","2016-10","11.4"
"USW00014735","2016-11","5.3"
"USW00014735","2016-12","-0.9"
"USW00014735","2017-01","-0.7"
"USW00014735","2017-02","0.8"
"USW00014735","2017-03","-0.1"
"USW00014735","2017-04","11.7"
"USW00014735","2017-05","14.1"
"USW00014735","2017-06","20.0"
"USW00014735","2017-07","22.1"
"USW00014735","2017-08","20.7"
"USW00014735","2017-09","18.7"
"USW00014735","2017-10","14.3"
"USW00014735","2017-11","4.0"
"USW00014735","2017-12","-3.9"
"USW00014735","2018-01","-4.8"
"USW00014735","2018-02","0.3"
"USW00014735","2018-03","1.2"
"USW00014735","2018-04","5.1"
"USW00014735","2018-05","17.9"
"USW00014735","2018-06","19.9"
"USW00014735","2018-07","24.7"
"USW00014735","2018-08","24.0"
"USW00014735","2018-09","19.6"
"USW00014735","2018-10","10.4"
"USW00014735","2018-11","2.8"
"USW00014735","2018-12","0.3"
"USW00014735","2019-01","-4.7"
"USW00014735","2019-02","-2.4"
"USW00014735","2019-03","1.8"
"USW00014735","2019-04","9.9"
"USW00014735","2019-05","14.7"
"USW00014735","2019-06","20.0"
"USW00014735","2019-07","24.5"
"USW00014735","2019-08","22.1"
"USW00014735","2019-09","17.7"
"USW00014735","2019-10","12.0"
"USW00014735","2019-11","2.6"
"USW00014735","2019-12","-1.2"